Iteration,beta1_1011,beta1_1112,beta1_1213,beta1_1314,beta1_1415,beta1_1516,beta1_1617,beta1_1718,beta1_1819,beta1_1920,beta2_1011,beta2_1112,beta2_1213,beta2_1314,beta2_1415,beta2_1516,beta2_1617,beta2_1718,beta2_1819,beta2_1920,eta1_1011,eta1_1112,eta1_1213,eta1_1314,eta1_1415,eta1_1516,eta1_1617,eta1_1718,eta1_1819,eta1_1920,eta2_1011,eta2_1112,eta2_1213,eta2_1314,eta2_1415,eta2_1516,eta2_1617,eta2_1718,eta2_1819,eta2_1920,alpha1,gamma1,alpha2,gamma2,pi_<6m,pi_6-12m,pi_1,pi_2-4,pi_5-17,pi_18-49,pi_50-64,pi_65-74,pi_75+,lh1_<6m,lh1_6-12m,lh1_1,lh1_2-4,lh1_5-17,lh1_18-49,lh1_50-64,lh1_65-74,lh1_75+,lh2_<6m,lh2_6-12m,lh2_1,lh2_2-4,lh2_5-17,lh2_18-49,lh2_50-64,lh2_65-74,lh2_75+,kappa1_0-4,kappa1_5-14,kappa1_15-64,kappa1_65+,kappa2_0-4,kappa2_5-14,kappa2_15-64,kappa2_65+,omega1,psi1,delta1,sigma1,theta1,omega2,psi2,delta2,sigma2,theta2,Loglik,Accepted,Season
0,1.91208496820041,2.79149971047905,2.29993515727562,2.64155859031668,2.70007061022377,2.26629116914048,2.40224441480368,2.25741673215067,2.39607146833124,1.97072815258877,2.0656403114651,1.65215188622484,1.44808475491659,1.20981516433694,1.60836934374148,1.70033009696306,1.87834059237727,1.56570089808821,2.04498042592751,1.68089037436741,-20.5076472053281,-4.07965937861369,-7.13539157012402,-7.44085087368187,-5.88433878218215,-5.66759179958322,-10.6524962787759,-12.3665436625876,-7.21347694143513,-15.9448053701842,-10.1906716955164,-18.1182357701523,-25.611085334755,-25.1571765850439,-16.2977288191221,-15.9223634551503,-16.5135298618252,-19.4462842602451,-13.7051103337074,-18.5816033709626,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.15029915599752,-2.4271793527808,-2.57391980526028,-3.11469467941801,-4.0101891557317,-4.01478757463716,-3.31819435435239,-2.68142076876894,-2.12939005392893,-1.20704170543584,-1.81261728499748,-2.28549421577218,-2.90716757172602,-5.08917123023764,-5.21630639277062,-4.04920877308315,-3.33958350921549,-2.68821092910587,0.0697578691207222,0.0124652792079911,0.0438208320380968,0.0125119335474533,0.0342961649849986,0.00772725703937994,0.011223630574161,0.0109754284501404,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,1.00000015913456,0.604487865879187,NA,NA,All
50,1.88774824273748,2.77451786393393,2.29098095058896,2.67270426671673,2.68573627510524,2.2739434405052,2.38407281426282,2.25741673215067,2.40255401749283,1.97297742255769,2.04249335206257,1.62727101977134,1.41882438339697,1.22245504089106,1.60955344187588,1.69887335223027,1.86366158681339,1.56570089808821,2.03861210592767,1.66132754078837,-20.4530872893585,-4.16314791289147,-7.10040935679556,-7.42084384201523,-5.8401387763555,-5.70218075452334,-10.6404738144687,-12.3665436625876,-7.27548221181466,-15.9694433625977,-10.1511739488497,-18.0179585269052,-25.6149459144616,-25.2297049981728,-16.2617883436033,-15.7421116026476,-16.5773509978714,-19.4462842602451,-13.7430689536191,-18.5035629308746,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.15182688748384,-2.42770361753097,-2.57294771031941,-3.11391948565568,-4.00971913646237,-4.00922668556621,-3.31834949869887,-2.69223180441334,-2.13664309035842,-1.20805963436589,-1.82037400829608,-2.27617854476802,-2.90838231582339,-5.0930564404009004,-5.22063543085749,-4.05391813178323,-3.34956979854493,-2.68544045784452,0.0659279540660299,0.0131947070933094,0.0435149216084557,0.010394531182487,0.0349352944101656,0.00900225335843466,0.0143549683944141,0.00976698117671029,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,1.00000015913456,0.442193703112738,-11224.3601379614,1,19/20
100,1.90174304786712,2.78193973450359,2.31368036607152,2.64110747579977,2.68518106405789,2.27382347770746,2.39551000924455,2.25741673215067,2.39866499657631,1.97297742255769,2.09048733071631,1.63779621855678,1.39654392203597,1.21668056100761,1.605833465321,1.69396025296578,1.87535437892006,1.56570089808821,2.03545403670522,1.66132754078837,-20.4900120026367,-4.30736412578653,-6.90083081073431,-7.43808580867681,-5.90133194901436,-5.66766168763433,-10.670690620471,-12.3665436625876,-7.32834168069732,-15.9694433625977,-10.2291990321417,-18.0343367256918,-25.4248574160445,-25.2496753086435,-16.3741002861373,-15.7061991924164,-16.5815294514917,-19.4462842602451,-13.6827400900177,-18.5035629308746,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.13927566279466,-2.42844684517747,-2.57491855407715,-3.11400099238969,-4.02280758020233,-4.01279069560995,-3.31734557524693,-2.68766934103085,-2.13338813511357,-1.20837358512035,-1.81387660867231,-2.27803943589494,-2.90881005924942,-5.08106939916151,-5.23487566365796,-4.05762494743523,-3.36158107935286,-2.69263782743988,0.0617246329763339,0.0134086508058053,0.0452176988764785,0.0114317925325246,0.0374737787560865,0.00783914339809142,0.0120903080891378,0.00981923033467143,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,1.00000015913456,0.399368278181419,-11226.4448693665,0,19/20
150,1.89791690507508,2.77367941105406,2.30340078361925,2.64826528741459,2.70632674372742,2.30757703561679,2.35890745378236,2.23427290687421,2.40774585177566,1.99930592425297,2.05848948977547,1.6365843646188,1.42426598598642,1.23809440684188,1.61447602977397,1.70412235453779,1.85927303239535,1.57790499977974,2.04543899461052,1.68220721950309,-20.4312293005359,-4.27994084760358,-7.05497835534027,-7.40911405683084,-5.77142498917664,-5.62297596578697,-10.668692251017,-12.3250023957648,-7.27725418825522,-15.9347137017333,-10.1665526440441,-18.0449802725682,-25.3781619809761,-25.2759763264044,-16.382520066434,-15.6948575311704,-16.6391870323905,-19.4541963187505,-13.762763911933,-18.5730759975954,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.14084324482718,-2.43348425786482,-2.57865746081116,-3.12429972998436,-4.02958580589847,-4.01557980246492,-3.3163012970222,-2.6890070201129,-2.11743762654933,-1.19958573117968,-1.81441118144893,-2.2877391877199,-2.90664507378841,-5.07878985383932,-5.23484105275688,-4.05390139003602,-3.35649077502685,-2.69795885264231,0.0613957010229363,0.0136874089640746,0.0472411504350479,0.0103843457598703,0.0384540805577495,0.00759869885190808,0.0114410585918764,0.00753748038109261,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,1.00000015913456,0.575698573821339,-11231.884580887,1,19/20
200,1.88789858952676,2.77080216361399,2.30838624130183,2.63193387634317,2.71670253005136,2.32743597580806,2.37849611211763,2.23427290687421,2.39151668516483,1.9842422917561,1.98669405020206,1.64156657449913,1.44389403294721,1.26717193063105,1.62711246591903,1.71951945725037,1.8623487868897,1.57790499977974,2.05878748491926,1.67022966350873,-20.586674414556,-4.2383404618568,-7.14773707599021,-7.54883741976548,-5.77454620217624,-5.57461148364474,-10.7251569907057,-12.3250023957648,-7.31999653630142,-15.9662169205664,-10.3570833880915,-17.9262243537648,-25.3420121359475,-25.1478341589269,-16.2418136954677,-15.6501317572462,-16.6517825981675,-19.4541963187505,-13.7736262435855,-18.5519077933632,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.11318480883469,-2.42960017133769,-2.57616502827977,-3.12172442202198,-4.04883747366733,-4.01377424740048,-3.31842864515156,-2.68564476304203,-2.11880204726647,-1.2050088214637,-1.81596452456931,-2.28273642258313,-2.90555384496306,-5.07977890903,-5.23421472883553,-4.04718956112005,-3.36598124554112,-2.69255848586752,0.0601059691356704,0.0131226438046626,0.0462207045146083,0.010969399813133,0.0355488903573,0.00936672313816079,0.0146455989684964,0.00815216256485533,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,1.00000015913456,0.314920962929327,-11233.2813895081,1,19/20
250,1.8907203206614,2.80689181342045,2.31008538925966,2.63578604790933,2.72626082006592,2.31875648160137,2.4017081810734,2.23427290687421,2.38531028494522,1.99062526315417,1.98362135949608,1.63131869999926,1.43424378542865,1.28393417354346,1.59618092799273,1.72247850210605,1.81358392424901,1.57790499977974,2.02749206540912,1.64894095815755,-20.6272776127601,-4.19759949561399,-7.11072801367576,-7.52475636021493,-5.74404740543293,-5.47325736755457,-10.6197482937497,-12.3250023957648,-7.31969007359679,-16.0111556250564,-10.3892671424894,-17.958533014909,-25.3405797648823,-25.1080468890589,-16.298687729032,-15.741086634797,-16.8980847664601,-19.4541963187505,-13.7940865917095,-18.5847660509417,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.11984312771996,-2.44900286271462,-2.59173133918429,-3.10687308960874,-4.03347815721276,-4.01854066319479,-3.31533830449386,-2.70564873138828,-2.13471206468357,-1.20144325582308,-1.80615575954247,-2.28215544338498,-2.90470749302173,-5.0843968512183,-5.23381675014419,-4.05631585828135,-3.35216479324017,-2.69727799291654,0.0587226349434646,0.011282791271034,0.0481967823048227,0.0134194581514478,0.0398335132931308,0.00965330514940327,0.0130112006813799,0.00965109680087672,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,1.00000015913456,0.30240153741347,-11235.3125044983,0,18/19
300,1.87245190633198,2.82538607088358,2.31008538925966,2.65119430874608,2.69324748145743,2.30407796530073,2.37473513817613,2.23427290687421,2.38436995345799,1.96913968822301,2.01869546260931,1.63918893655532,1.43424378542865,1.28310884006871,1.59969284456662,1.72355678916803,1.82804083784028,1.57790499977974,2.02530813444581,1.6641501597445,-20.6040692750587,-4.12934898194646,-7.11072801367576,-7.45263768892592,-5.75724339951015,-5.41225650002602,-10.534488468311,-12.3250023957648,-7.28185814367111,-16.0506612328288,-10.4158060838685,-17.9856123804661,-25.3405797648823,-25.0058340024162,-16.3014469255795,-15.6791779904732,-16.949078761778,-19.4541963187505,-13.8216298188389,-18.6379641457932,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.11140035207428,-2.45410149562514,-2.5925632645744,-3.1002768366216,-4.03623024211137,-4.02635634112256,-3.32348148829072,-2.70424554754337,-2.12495941345787,-1.20766517124864,-1.80156459499397,-2.2845095129529,-2.90331666179807,-5.08203792477591,-5.23258977907239,-4.05395458985448,-3.35362105805097,-2.69351975646965,0.0584257513120906,0.0102582283431502,0.0496854243886612,0.013862739192308,0.040962620728563,0.00817007252344171,0.0140048376018329,0.00992373365942901,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,1.00000015913456,1.14291968096788,-11239.6284382964,0,18/19
350,1.88780215804311,2.77809162589343,2.31387440362938,2.64287894574654,2.68417655148359,2.28746307455228,2.37643977475122,2.24266639237659,2.3842920852598,1.99804393045029,1.97903394828356,1.6211335877677,1.44305340331184,1.26034407801525,1.6134546171451,1.72058717341515,1.85231862455654,1.57472868702253,2.02296408255207,1.66322281571441,-20.5789814461892,-4.05924584443384,-7.14935484718376,-7.49447501572696,-5.82228413434127,-5.4865069080288,-10.4767429723621,-12.2735765940287,-7.21715569138411,-15.9410809318799,-10.3785211809642,-17.990394625958,-25.4376507853793,-25.0110156716061,-16.2866980294138,-15.6602370599442,-16.9841554460104,-19.4084174065164,-13.7716241256062,-18.5445908143506,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.12970200849523,-2.44139955498802,-2.58566075171804,-3.08591900040412,-4.03177770843751,-4.01695007354916,-3.31589182493771,-2.68682023404744,-2.12002851261075,-1.21587616619084,-1.80188255611833,-2.28763014822676,-2.90375035059275,-5.08245821566587,-5.22773607242257,-4.05030737088945,-3.35853352911449,-2.68541916820773,0.0582788179958078,0.0126724626309043,0.0452899502548546,0.0158579343809485,0.0400903258332242,0.00995440939321987,0.0142525495629692,0.0113215676669075,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,1.00000015913456,0.949480703770428,-11232.2025077498,0,18/19
400,1.88825869774706,2.79059732584456,2.32244745908926,2.63427784057834,2.68417655148359,2.30841250559898,2.39360224862457,2.24131865590698,2.38998092081003,1.99254027444674,1.99918141047742,1.65121493011579,1.44404504046865,1.19128582339688,1.6134546171451,1.70667602881829,1.85968169723559,1.56636707873697,2.03465499216692,1.63572422542312,-20.6405344857338,-4.12024368647519,-7.1171255757583,-7.52276501047465,-5.82228413434127,-5.58212557909752,-10.5368980084123,-12.3062549229595,-7.26922112903639,-15.9328034918664,-10.4210082888237,-18.110697933189,-25.4483897478997,-24.9953495471845,-16.2866980294138,-15.5790647807759,-17.0042674606828,-19.4043317563026,-13.7005151690975,-18.5460416525157,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.12970200849523,-2.44139955498802,-2.58566075171804,-3.08591900040412,-4.03177770843751,-4.01695007354916,-3.31589182493771,-2.68682023404744,-2.12002851261075,-1.21587616619084,-1.80188255611833,-2.28763014822676,-2.90375035059275,-5.08245821566587,-5.22773607242257,-4.05030737088945,-3.35853352911449,-2.68541916820773,0.0582788179958078,0.0126724626309043,0.0452899502548546,0.0158579343809485,0.0400903258332242,0.00995440939321987,0.0142525495629692,0.0113215676669075,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,1.00000015913456,0.283489789426371,-11228.4253754661,0,18/19
450,1.86059475321782,2.77227741733776,2.31448230549757,2.65160218922822,2.69886250412772,2.2929236333997,2.398746620502,2.25022747018908,2.37916325579058,1.97455331393895,2.02146170668497,1.62325364928982,1.43297406908331,1.24958693553157,1.59655083332784,1.70707751600476,1.87169829693605,1.56127641972896,2.04576355277332,1.63637611830004,-20.6839308912837,-4.03850455589336,-7.15100731820892,-7.53334317643937,-5.84837619785689,-5.69331389650186,-10.3896393304138,-12.3801375312256,-7.35112947148203,-15.9348518617399,-10.3890321761003,-18.0255466964515,-25.5190933217168,-24.9183743957825,-16.2590971087531,-15.576757058548,-17.0229620629404,-19.5171921937404,-13.6174166423675,-18.4571771897029,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.14444219203467,-2.4237169457997,-2.5885897409069,-3.08305853671422,-4.02920104172199,-4.00809552154915,-3.32470467622671,-2.68837915556338,-2.12653413496177,-1.19976998413857,-1.80923862311335,-2.26831279339683,-2.90245784523726,-5.08332466243406,-5.23364620334798,-4.04490411406634,-3.37385333707524,-2.6859557350354,0.057199368121701,0.0124319504031609,0.04590858322245,0.0152310696171836,0.0409735510344076,0.00827119083926257,0.0140274108446457,0.0120443411027833,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,1.00000015913456,0.803208659998077,-11231.1751981357,0,18/19
