Iteration,beta1_1011,beta1_1112,beta1_1213,beta1_1314,beta1_1415,beta1_1516,beta1_1617,beta1_1718,beta1_1819,beta1_1920,beta2_1011,beta2_1112,beta2_1213,beta2_1314,beta2_1415,beta2_1516,beta2_1617,beta2_1718,beta2_1819,beta2_1920,eta1_1011,eta1_1112,eta1_1213,eta1_1314,eta1_1415,eta1_1516,eta1_1617,eta1_1718,eta1_1819,eta1_1920,eta2_1011,eta2_1112,eta2_1213,eta2_1314,eta2_1415,eta2_1516,eta2_1617,eta2_1718,eta2_1819,eta2_1920,alpha1,gamma1,alpha2,gamma2,pi_<6m,pi_6-12m,pi_1,pi_2-4,pi_5-17,pi_18-49,pi_50-64,pi_65-74,pi_75+,lh1_<6m,lh1_6-12m,lh1_1,lh1_2-4,lh1_5-17,lh1_18-49,lh1_50-64,lh1_65-74,lh1_75+,lh2_<6m,lh2_6-12m,lh2_1,lh2_2-4,lh2_5-17,lh2_18-49,lh2_50-64,lh2_65-74,lh2_75+,kappa1_0-4,kappa1_5-14,kappa1_15-64,kappa1_65+,kappa2_0-4,kappa2_5-14,kappa2_15-64,kappa2_65+,lromega1,lrpsi1,delta1,sigma1,theta1,lromega2,lrpsi2,delta2,sigma2,theta2,Loglik,Accepted,Season
0,1.9125877377721,2.86685542134408,2.30753844551721,2.76409847796242,2.72084640329295,2.2699817369542,2.43262357666069,2.44027841511994,2.50501991241082,1.99268219338723,1.93911385420089,1.64462398058382,1.42924259265537,1.22518447831079,1.59860060029087,1.67429739480815,1.88577053939109,1.53957176313446,1.95005136961492,1.60808156439939,-20.3583131812461,-3.70941091664428,-7.0637625896989,-6.69362077482889,-5.61508564558196,-6.03047729389239,-10.1865389960503,-9.5896927095192,-6.14184266996745,-16.2629260634444,-11.158712113849,-18.0094756515922,-25.2284751505466,-25.3855190301459,-16.6323476491436,-16.2618576681891,-16.3192769167708,-19.7768112130052,-14.640158191148,-19.7075849171398,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.16799430980687,-2.51060904100898,-2.56100213401946,-3.01521680699738,-4.03533187507614,-4.03582051892915,-3.31809240755282,-2.70525524323815,-2.15685653078688,-1.21419316228224,-1.8634558242594501,-2.27222917691256,-2.92423625744774,-4.97147552042352,-4.98645811465132,-4.0884846869441,-3.39884970711991,-2.67638425080672,0.0684489111913552,0.0134495846272195,0.0380819512577525,0.019071661002056,0.0311397099686435,0.00719336869337913,0.0145755454157352,0.0078032503555814,-3,-3.000000000034861,1.00000034633551,1.000000444365,1.00000019240689,-3.0000000000067315,-2.9999999999436806,0.999999398107688,1.00000015913456,0.5230839607905885,NA,NA,All
50,1.90551004182781,2.86685542134408,2.29502617070122,2.75498791939144,2.71517827355957,2.27061106865472,2.42698488281357,2.44904769711716,2.52015471357867,1.96481159939754,1.95035308017708,1.64462398058382,1.44494411974212,1.23572047568184,1.59078318325237,1.68053297964528,1.89632429543175,1.54220596890971,1.9278874358771,1.59622107849794,-20.4736440215502,-3.70941091664428,-7.08453153229718,-6.7849443321083,-5.6614125750493,-6.05105616724638,-10.2218368941492,-9.57866318932557,-6.11714157765824,-16.1406630259731,-11.0797530885518,-18.0094756515922,-25.1546091431446,-25.4715593039252,-16.5579360151848,-16.2546340489856,-16.3948590437588,-19.8471829146412,-14.6797301116256,-19.7863872540643,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.16805379393488,-2.5107512667349,-2.5716844817583,-3.01982814398867,-4.03618574108895,-4.03566409990674,-3.31656264047695,-2.70554607622561,-2.15820411823764,-1.2140907427039,-1.84972504728639,-2.27827882417591,-2.91821009969525,-4.98435273118763,-4.98197325700878,-4.08458826951818,-3.40696746472123,-2.67761615759006,0.068263289613089,0.0159476136059907,0.0361474144354149,0.0176094415287242,0.0318258631598095,0.00720675258775108,0.0160827884288702,0.00961573995500614,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.534554015257911,-11184.180657054,0,19/20
100,1.92059506303946,2.83341900659161,2.27428602827798,2.72724913356787,2.72769359614275,2.28056389962267,2.43114116692079,2.46877272160037,2.48984997781692,1.98507726117093,1.94283215011824,1.65365195624235,1.44849626152353,1.23698044490441,1.60746569209615,1.68873307058589,1.91899624290506,1.55028994523086,1.94439694672749,1.63002825408638,-20.5215957921542,-3.63997351818296,-7.12212557963395,-6.77907541816853,-5.63149174019899,-5.99173936292951,-10.2593559213208,-9.48600848252329,-6.15949910830236,-16.1231233984703,-11.0466732436529,-18.0160211392801,-25.173805655801,-25.4164372364041,-16.509155463224,-16.2753177866594,-16.3725383938471,-19.9338017393412,-14.5550909495638,-19.8611736155621,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.15971870678672,-2.5102426461081,-2.59094972466031,-3.01085217437629,-4.04119583691746,-4.02607433042168,-3.30320437232396,-2.7054461690441,-2.164828859893,-1.2036431684993,-1.83887369350404,-2.27485423495623,-2.90588468572479,-4.99604140550941,-4.97630905465342,-4.08073966884914,-3.38835304478637,-2.68503169050926,0.0697651540793141,0.0139377784949716,0.0359024228548951,0.0179360453973843,0.0352059532871233,0.008326238374379,0.0158877474210825,0.00780497247104256,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.427044214575886,-11191.6402446279,1,19/20
150,1.91231450582305,2.86332811342883,2.31580448018209,2.74043567895417,2.72751462137394,2.28145349271499,2.42708068612569,2.43197988379397,2.46266697254631,1.97813851607606,1.97044017028223,1.6401565143614,1.42047074100966,1.2369901612789,1.62948100903508,1.65407984084084,1.8582036862955,1.54826000354898,1.94515193376072,1.62760658463404,-20.3765566461727,-3.73207463313336,-7.03895053307528,-6.70801458999228,-5.57675596436224,-5.93460086096823,-10.2992213152288,-9.54894228535337,-6.22805347479158,-16.1882342471008,-10.9424119248309,-17.8844361709083,-25.3043103348314,-25.34377174861,-16.4068568943049,-16.4269265324591,-16.3425227170853,-19.9483667451864,-14.7344513700598,-19.8318974755738,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.16159163945298,-2.49784228315552,-2.59375725685214,-3.01419490858625,-4.05687080264943,-4.02916238465255,-3.30727572843871,-2.69472046563669,-2.15319446113631,-1.20926616771866,-1.83822171455216,-2.26123911708551,-2.91510126529303,-4.98790470069947,-4.94635215112671,-4.0753211693721,-3.36859982021431,-2.70458733923519,0.068105715104123,0.0149284279391002,0.037442932739154,0.0203108748843515,0.0349365085107431,0.00621976720638392,0.0153850570906908,0.00689947399203136,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.702233379797079,-11187.994528043,0,19/20
200,1.88751421515506,2.86332811342883,2.30870500773914,2.74490016049472,2.70125508024095,2.28515739401626,2.41241078036731,2.43289983524203,2.4607408280465,1.98240807374531,1.94567821436997,1.6401565143614,1.41809589062918,1.23961241130258,1.61178078502805,1.66314000408821,1.87474243974674,1.54276845173476,1.95457177312829,1.60935464385127,-20.4302112388942,-3.73207463313336,-6.93804871741394,-6.73190777359433,-5.5360433448871,-5.89984053618271,-10.3291891895015,-9.63589511203557,-6.30517354506354,-16.3043090552344,-10.8887044435,-17.8844361709083,-25.2612435215375,-25.3012342182457,-16.4586891924195,-16.4961988605608,-16.4335287366754,-19.8891459684304,-14.8035961985938,-19.7877735922606,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.16358287737005,-2.49122006420901,-2.58712131387175,-3.00845111141714,-4.05500395672848,-4.03331593322567,-3.31345125394556,-2.68203017504874,-2.14596256748777,-1.20133763328693,-1.83506074813244,-2.25909978850557,-2.91276633368388,-4.98899996039262,-4.94256976537911,-4.07875370729289,-3.37191522858814,-2.70049012619553,0.0689158271144488,0.0147003886905318,0.0359564001873025,0.0212556490279227,0.0333053731605347,0.00706774913081159,0.0152876445793129,0.00592287052107033,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.474901916556797,-11186.1313161575,0,19/20
250,1.88751421515506,2.84325087185366,2.29131320613166,2.75110143369735,2.70659192606603,2.28515739401626,2.414787696178,2.41044167471336,2.46456215621427,1.98240807374531,1.94567821436997,1.66806143600273,1.44393180220089,1.21562768890863,1.60806783860057,1.66314000408821,1.88467577343798,1.54890557375615,1.94135017751014,1.60935464385127,-20.4302112388942,-3.79330287675357,-6.92401007921865,-6.67355173486537,-5.61243474815822,-5.89984053618271,-10.3318727627343,-9.71377362086039,-6.31149560393949,-16.3043090552344,-10.8887044435,-17.9606380299627,-25.1965778475588,-25.2738241577826,-16.48473504081,-16.4961988605608,-16.4114194534179,-19.7408494160969,-14.8006414525358,-19.7877735922606,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.16836256485695,-2.48786288513769,-2.58654261830223,-3.02456048829083,-4.07560467146826,-4.03599617682915,-3.31243487356133,-2.69409426670373,-2.14975293156505,-1.19975634938337,-1.83108119196601,-2.25127070030386,-2.91941567055718,-4.98112795107037,-4.94182102635556,-4.07562442452337,-3.37979587212423,-2.69502861138295,0.0696792983607914,0.0147058447362711,0.0328166859548256,0.0206912611325523,0.0339638247995594,0.00686735093812836,0.0155776343846597,0.00535356857165355,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.455870451035503,-11186.4780635863,0,18/19
300,1.92036461319721,2.82994836534822,2.32645065531102,2.72647695150836,2.70659192606603,2.2770586285327,2.4151353816133,2.39932209257808,2.46045532176347,1.98483800117093,1.93751990906893,1.63175076133277,1.4369733532099,1.21807485807376,1.60806783860057,1.67006218770565,1.85590853564337,1.53727894781305,1.96041689995202,1.62241565310431,-20.3949754511804,-3.85881420313794,-6.86674052504229,-6.70255636830481,-5.61243474815822,-5.83989412038941,-10.1630139300292,-9.78425714084205,-6.26543730289271,-16.2208109033492,-10.9189602588216,-17.9707703677456,-25.1328668129548,-25.278403615412,-16.48473504081,-16.5071212895869,-16.5879743362097,-19.7295263316305,-14.7185077628137,-19.8531096515099,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.16538400458115,-2.50182591847134,-2.58437372724204,-3.01453159384196,-4.0806883069174,-4.04030514309581,-3.30137526374845,-2.69006243799702,-2.14670903504659,-1.20046792978471,-1.8351131241641,-2.25428770183013,-2.93392376651448,-4.98053825577774,-4.94054935719269,-4.08982302981367,-3.39904610222904,-2.6991245706899,0.0703212968677528,0.0159211616124496,0.0317043242947836,0.0207624887526609,0.0341090127774942,0.00735052617863134,0.0174935443265575,0.00643179860809379,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.678183850768445,-11189.5711379393,0,18/19
350,1.90958845786392,2.81739687001452,2.32645065531102,2.75025540836609,2.73211141276493,2.26923341835167,2.46567125451353,2.42783392686659,2.49026876957376,1.98025703614294,1.94089245392699,1.64671769504063,1.4369733532099,1.21694192389323,1.59304920429292,1.66163002858022,1.87080431379967,1.55258429980442,1.94876992712912,1.59693259580012,-20.4165457817056,-3.81053795432183,-6.86674052504229,-6.816886039712,-5.53017202945901,-5.83492432475153,-10.0194443127412,-9.81931148178633,-6.24912423626643,-16.1383791739946,-10.935454797173,-18.0966288756496,-25.1328668129548,-25.1085434342708,-16.4901064387818,-16.5398359664339,-16.5705033942873,-19.766945659007,-14.766244803638,-19.8508531103933,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.16890789523681,-2.48498082835987,-2.57696164076606,-3.01593348067215,-4.08594318651997,-4.06556233074087,-3.31477561991374,-2.69027346568826,-2.14335121402558,-1.19381227585847,-1.82768786318057,-2.26252628142178,-2.94092739002652,-4.98472175256941,-4.93457424929518,-4.06555352259496,-3.41345213714678,-2.6940741868304,0.0711127224637623,0.0146990723462743,0.0331689339636615,0.0195146598746329,0.0335449689871617,0.00885671215058094,0.0162101983023527,0.0082557474572396,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.453031829010916,-11187.2288220041,0,18/19
400,1.93700106378404,2.83725497986948,2.32326207038453,2.74960021937688,2.72511249627943,2.26923341835167,2.43932436340122,2.43339176724375,2.4825337930355,2.01220381529116,1.88027067276223,1.63933972039546,1.42367145600258,1.1993117174588,1.5763064233327,1.66163002858022,1.86426981826214,1.56279378660773,1.94056956377181,1.58969114303245,-20.4986012167351,-3.8058558315660602,-6.79200001559864,-6.68840409058356,-5.57409069255757,-5.83492432475153,-10.1088175559989,-9.6582566119246,-6.2274163709337,-16.2055777601103,-10.9935253841935,-18.0973719561028,-25.1541682639022,-25.0066783747186,-16.612468640191,-16.5398359664339,-16.4896472105625,-19.7687892220112,-14.6845042606916,-19.9375508246832,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.17985922019228,-2.49097614331143,-2.55175391966812,-3.02284023202717,-4.08222190141224,-4.06350517925985,-3.31028130304151,-2.68762752911411,-2.14078726691676,-1.18870737381965,-1.83337772387772,-2.25196519143105,-2.94439208816116,-4.96749338474101,-4.9395546155122,-4.06521053832912,-3.41908379261737,-2.69095403637874,0.0738810664290211,0.0136967281485035,0.0367829804316507,0.0189610592542901,0.0310612626232456,0.010626254650268,0.0164261936298775,0.00988691444328641,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.714955091949497,-11192.0890968385,1,18/19
450,1.91988400762378,2.85395201766511,2.32326207038453,2.800601039655,2.72044778184531,2.26923341835167,2.43591600270513,2.45106723566232,2.50257478775328,1.9644844541918,1.90499472086248,1.65153152595364,1.42367145600258,1.19545332971788,1.6109102915889,1.66163002858022,1.86469418616728,1.53664226014459,1.95778220087193,1.56504502746507,-20.5309723321069,-3.73452551178341,-6.79200001559864,-6.60080670774177,-5.55805994753128,-5.83492432475153,-10.0245521223925,-9.70819564576654,-6.2802943782859,-16.1059160798805,-10.9170218145884,-18.0116948990532,-25.1541682639022,-25.0788443649534,-16.5552289698929,-16.5398359664339,-16.3899164888937,-19.8323364569468,-14.6477319354886,-19.9865066659417,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.17188063783781,-2.48449843604255,-2.57282693042018,-3.03083854037854,-4.08636326057291,-4.0701897963211,-3.30827013164361,-2.6931516946224,-2.14552498173882,-1.18985858338639,-1.83614411972677,-2.24575096973321,-2.93750031294717,-4.96440773451169,-4.95145507308762,-4.05978855115697,-3.41887766317289,-2.68516151307526,0.0730974230065597,0.0136571210622168,0.0378847695907006,0.0206993298022486,0.0303801714434322,0.00717882746901737,0.017728982287432,0.00899877574027676,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.664255878963346,-11193.8425476589,0,18/19
