jump;param1;description1;Baseline1;param2;description2;Baseline2;K;deltaAIC;Estimate1;Estimate2
12;1/omega1;Duration of influenza residually positive period Rv (weeks);0,001;delta1;Susceptibility to influenza affected by active infection with RSV;1,000;68; 2.7;0 (0-0.1);0.9 (0.9-1)
10;theta2;Hospitalisation with RSV affected by active infection with influenza;1,000;NA;NA;NA;67; 1.1;0.6 (0.3-0.8);
0;BASELINE;no interaction;NA;NA;NA;NA;66;0;NA;NA
19;theta2;Hospitalisation with RSV affected by active infection with influenza;1,000;1/omega1;Duration of influenza residually positive period Rv (weeks);0,001;68;<0;NA;NA
49;theta2;Hospitalisation with RSV affected by active infection with influenza;1,000;1/omega2;Duration of RSV residually positive period Rv (weeks);0,001;68;<0;NA;NA
40;theta2;Hospitalisation with RSV affected by active infection with influenza;1,000;sigma1;Transmission of influenza affected by active infection with RSV;1,000;68;<0;NA;NA
52;theta2;Hospitalisation with RSV affected by active infection with influenza;1,000;1/psi2;Duration of RSV refractory period Rf (weeks);0,001;68;<0;NA;NA
6;1/omega2;Duration of RSV residually positive period Rv (weeks);0,001;NA;NA;NA;67;<0;NA;NA
7;1/psi2;Duration of RSV refractory period Rf (weeks);0,001;NA;NA;NA;67;<0;NA;NA
4;sigma1;Transmission of influenza affected by active infection with RSV;1,000;NA;NA;NA;67;<0;NA;NA
1;1/omega1;Duration of influenza residually positive period Rv (weeks);0,001;NA;NA;NA;67;<0;NA;NA
15;1/omega1;Duration of influenza residually positive period Rv (weeks);0,001;1/omega2;Duration of RSV residually positive period Rv (weeks);0,001;68;<0;NA;NA
36;sigma1;Transmission of influenza affected by active infection with RSV;1,000;1/omega2;Duration of RSV residually positive period Rv (weeks);0,001;68;<0;NA;NA
13;1/omega1;Duration of influenza residually positive period Rv (weeks);0,001;sigma1;Transmission of influenza affected by active infection with RSV;1,000;68;<0;NA;NA
37;sigma1;Transmission of influenza affected by active infection with RSV;1,000;1/psi2;Duration of RSV refractory period Rf (weeks);0,001;68;<0;NA;NA
